id,statsYear,playerName,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,blocksPerGame,stealsPerGame
1404,2026,Tristan Vukcevic,32,11.7,7.3,2.4,1.1,0.7,0.3
1405,2026,Tre Mann,32,16.1,7.3,2.3,2.2,0.1,0.4
1406,2026,Kenrich Williams,33,16.1,6.9,3.4,1.6,0.1,0.6
1407,2026,Jaden Hardy,34,12.6,6.9,1.4,0.9,0.1,0.3
1408,2026,Robert Williams III,36,16.5,6.4,6.5,1.1,1.4,0.6
1409,2026,Alex Caruso,34,18.5,6.1,2.7,2.1,0.4,1.4
1410,2026,Kris Murray,34,25.7,6.1,4.0,1.2,0.4,1.2
1411,2026,Pat Spencer,37,14.8,6.0,2.2,3.0,0.1,0.6
1412,2026,Steven Adams,32,22.8,5.8,8.6,1.5,0.6,0.7
1413,2026,Josh Minott,33,15.9,5.8,3.6,1.0,0.4,0.7
1414,2026,Aaron Holiday,35,13.3,5.7,0.9,1.0,0.1,0.5
1415,2026,Jalen Pickett,37,18.1,5.6,2.7,2.7,0.1,0.4
1416,2026,Jalen Wilson,33,14.5,5.5,1.5,0.6,0.1,0.3
1417,2026,Asa Newell,37,11.1,5.3,2.1,0.5,0.4,0.4
1418,2026,Thomas Bryant,37,10.2,5.2,2.8,0.6,0.4,0.2
1419,2026,Johnny Furphy,34,18.5,5.2,4.4,1.1,0.2,0.6
1420,2026,Taylor Hendricks,35,15.3,5.0,3.0,0.7,0.2,0.4
1421,2026,Branden Carlson,34,11.0,4.9,2.6,0.6,0.5,0.2
1422,2026,Jett Howard,32,10.6,4.8,1.3,0.8,0.1,0.2
1423,2026,Lonzo Ball,35,20.8,4.6,4.0,3.9,0.3,1.3
1424,2026,Jordan Hawkins,35,14.1,4.3,1.8,0.7,0.2,0.2
1425,2026,Trayce Jackson-Davis,36,11.4,4.2,3.1,0.9,0.5,0.4
1426,2026,Rob Dillingham,36,9.7,3.6,1.2,1.7,0.1,0.6
1427,2026,Dalen Terry,34,11.1,3.5,1.9,1.3,0.3,0.6
1428,2026,Yanic Konan Niederhauser,31,8.5,3.5,2.1,0.3,0.5,0.1
1429,2026,Jamison Battle,37,8.6,3.2,1.4,0.4,0.1,0.1
1430,2026,Kobe Brown,34,8.7,2.9,1.6,0.8,0.1,0.3
1431,2026,Duop Reath,32,8.1,2.9,1.2,0.3,0.3,0.2
1432,2026,Julian Phillips,35,9.5,2.8,1.3,0.2,0.2,0.5
1433,2026,Jae'Sean Tate,31,8.2,2.6,1.5,0.5,0.1,0.2
1434,2026,Chris Youngblood,32,5.4,2.0,0.9,0.3,0.1,0.1
1435,2026,Ariel Hukporti,36,9.1,2.0,2.9,0.5,0.6,0.1
